
==================================================
Training LSTM-AE with sequence length: 2_week | Fold 1 (years: [2005, 2006])
Epoch 01 | Train loss: 0.04940 | Val loss: 0.02606 | Combo score: 0.400 | Smoothed: 0.400 | MCC: 0.153 | REC: 0.629 | PRE: 0.151 | AUC: 0.657 | Threshold: 0.02752
Epoch 02 | Train loss: 0.01629 | Val loss: 0.02187 | Combo score: 0.384 | Smoothed: 0.399 | MCC: 0.122 | REC: 0.529 | PRE: 0.145 | AUC: 0.637 | Threshold: 0.02319
Epoch 03 | Train loss: 0.01409 | Val loss: 0.01852 | Combo score: 0.379 | Smoothed: 0.397 | MCC: 0.113 | REC: 0.512 | PRE: 0.142 | AUC: 0.624 | Threshold: 0.01987
Epoch 04 | Train loss: 0.01226 | Val loss: 0.01941 | Combo score: 0.403 | Smoothed: 0.397 | MCC: 0.166 | REC: 0.510 | PRE: 0.174 | AUC: 0.688 | Threshold: 0.02497
Epoch 05 | Train loss: 0.01153 | Val loss: 0.01581 | Combo score: 0.404 | Smoothed: 0.398 | MCC: 0.165 | REC: 0.583 | PRE: 0.164 | AUC: 0.669 | Threshold: 0.01726
Epoch 06 | Train loss: 0.01018 | Val loss: 0.01432 | Combo score: 0.391 | Smoothed: 0.397 | MCC: 0.131 | REC: 0.618 | PRE: 0.142 | AUC: 0.638 | Threshold: 0.01356
Epoch 07 | Train loss: 0.00970 | Val loss: 0.01411 | Combo score: 0.384 | Smoothed: 0.396 | MCC: 0.133 | REC: 0.429 | PRE: 0.164 | AUC: 0.645 | Threshold: 0.01859
Epoch 08 | Train loss: 0.00938 | Val loss: 0.01391 | Combo score: 0.389 | Smoothed: 0.395 | MCC: 0.126 | REC: 0.610 | PRE: 0.140 | AUC: 0.632 | Threshold: 0.01348
Epoch 09 | Train loss: 0.00921 | Val loss: 0.01436 | Combo score: 0.393 | Smoothed: 0.395 | MCC: 0.148 | REC: 0.506 | PRE: 0.163 | AUC: 0.654 | Threshold: 0.01744
Epoch 10 | Train loss: 0.00899 | Val loss: 0.01313 | Combo score: 0.394 | Smoothed: 0.395 | MCC: 0.140 | REC: 0.631 | PRE: 0.145 | AUC: 0.637 | Threshold: 0.01198
Epoch 11 | Train loss: 0.00885 | Val loss: 0.01319 | Combo score: 0.401 | Smoothed: 0.396 | MCC: 0.155 | REC: 0.618 | PRE: 0.154 | AUC: 0.656 | Threshold: 0.01388
Epoch 12 | Train loss: 0.00849 | Val loss: 0.01241 | Combo score: 0.397 | Smoothed: 0.396 | MCC: 0.152 | REC: 0.566 | PRE: 0.158 | AUC: 0.657 | Threshold: 0.01353
Epoch 13 | Train loss: 0.00767 | Val loss: 0.01115 | Combo score: 0.390 | Smoothed: 0.395 | MCC: 0.151 | REC: 0.417 | PRE: 0.179 | AUC: 0.651 | Threshold: 0.01515
Epoch 14 | Train loss: 0.00729 | Val loss: 0.01081 | Combo score: 0.412 | Smoothed: 0.397 | MCC: 0.192 | REC: 0.556 | PRE: 0.185 | AUC: 0.669 | Threshold: 0.01255
Epoch 15 | Train loss: 0.00695 | Val loss: 0.01065 | Combo score: 0.420 | Smoothed: 0.399 | MCC: 0.212 | REC: 0.546 | PRE: 0.202 | AUC: 0.687 | Threshold: 0.01319
Epoch 16 | Train loss: 0.00670 | Val loss: 0.01050 | Combo score: 0.422 | Smoothed: 0.401 | MCC: 0.217 | REC: 0.566 | PRE: 0.201 | AUC: 0.680 | Threshold: 0.01333
Epoch 17 | Train loss: 0.00646 | Val loss: 0.01039 | Combo score: 0.418 | Smoothed: 0.403 | MCC: 0.215 | REC: 0.475 | PRE: 0.220 | AUC: 0.690 | Threshold: 0.01557
Epoch 18 | Train loss: 0.00623 | Val loss: 0.01026 | Combo score: 0.418 | Smoothed: 0.405 | MCC: 0.214 | REC: 0.529 | PRE: 0.206 | AUC: 0.671 | Threshold: 0.01345
Epoch 19 | Train loss: 0.00571 | Val loss: 0.00914 | Combo score: 0.418 | Smoothed: 0.406 | MCC: 0.214 | REC: 0.494 | PRE: 0.214 | AUC: 0.682 | Threshold: 0.01314
Epoch 20 | Train loss: 0.00507 | Val loss: 0.00881 | Combo score: 0.417 | Smoothed: 0.407 | MCC: 0.209 | REC: 0.510 | PRE: 0.206 | AUC: 0.685 | Threshold: 0.01195
Epoch 21 | Train loss: 0.00482 | Val loss: 0.00858 | Combo score: 0.421 | Smoothed: 0.408 | MCC: 0.218 | REC: 0.515 | PRE: 0.213 | AUC: 0.695 | Threshold: 0.01237
Epoch 22 | Train loss: 0.00464 | Val loss: 0.00871 | Combo score: 0.424 | Smoothed: 0.410 | MCC: 0.226 | REC: 0.544 | PRE: 0.213 | AUC: 0.686 | Threshold: 0.01176
Epoch 23 | Train loss: 0.00451 | Val loss: 0.00818 | Combo score: 0.411 | Smoothed: 0.410 | MCC: 0.198 | REC: 0.477 | PRE: 0.205 | AUC: 0.677 | Threshold: 0.01175
Epoch 24 | Train loss: 0.00443 | Val loss: 0.00822 | Combo score: 0.412 | Smoothed: 0.410 | MCC: 0.201 | REC: 0.485 | PRE: 0.205 | AUC: 0.677 | Threshold: 0.01180
Epoch 25 | Train loss: 0.00437 | Val loss: 0.00809 | Combo score: 0.417 | Smoothed: 0.411 | MCC: 0.207 | REC: 0.519 | PRE: 0.203 | AUC: 0.686 | Threshold: 0.01103
Epoch 26 | Train loss: 0.00424 | Val loss: 0.00819 | Combo score: 0.416 | Smoothed: 0.411 | MCC: 0.200 | REC: 0.585 | PRE: 0.185 | AUC: 0.674 | Threshold: 0.00919
Epoch 27 | Train loss: 0.00415 | Val loss: 0.00776 | Combo score: 0.412 | Smoothed: 0.411 | MCC: 0.194 | REC: 0.506 | PRE: 0.196 | AUC: 0.681 | Threshold: 0.01056
Epoch 28 | Train loss: 0.00406 | Val loss: 0.00787 | Combo score: 0.417 | Smoothed: 0.412 | MCC: 0.201 | REC: 0.602 | PRE: 0.183 | AUC: 0.674 | Threshold: 0.00841
Epoch 29 | Train loss: 0.00402 | Val loss: 0.00790 | Combo score: 0.420 | Smoothed: 0.413 | MCC: 0.210 | REC: 0.544 | PRE: 0.200 | AUC: 0.702 | Threshold: 0.01028
Epoch 30 | Train loss: 0.00391 | Val loss: 0.00771 | Combo score: 0.413 | Smoothed: 0.413 | MCC: 0.190 | REC: 0.595 | PRE: 0.177 | AUC: 0.670 | Threshold: 0.00824
Epoch 31 | Train loss: 0.00386 | Val loss: 0.00766 | Combo score: 0.418 | Smoothed: 0.413 | MCC: 0.204 | REC: 0.575 | PRE: 0.190 | AUC: 0.685 | Threshold: 0.00918
Epoch 32 | Train loss: 0.00382 | Val loss: 0.00752 | Combo score: 0.415 | Smoothed: 0.413 | MCC: 0.199 | REC: 0.550 | PRE: 0.191 | AUC: 0.681 | Threshold: 0.00924
Epoch 33 | Train loss: 0.00374 | Val loss: 0.00758 | Combo score: 0.409 | Smoothed: 0.413 | MCC: 0.191 | REC: 0.521 | PRE: 0.190 | AUC: 0.667 | Threshold: 0.00959
Epoch 34 | Train loss: 0.00371 | Val loss: 0.00739 | Combo score: 0.411 | Smoothed: 0.413 | MCC: 0.189 | REC: 0.564 | PRE: 0.182 | AUC: 0.673 | Threshold: 0.00836
Epoch 35 | Train loss: 0.00368 | Val loss: 0.00795 | Combo score: 0.416 | Smoothed: 0.413 | MCC: 0.210 | REC: 0.456 | PRE: 0.220 | AUC: 0.694 | Threshold: 0.01223
Epoch 36 | Train loss: 0.00362 | Val loss: 0.00751 | Combo score: 0.409 | Smoothed: 0.413 | MCC: 0.194 | REC: 0.434 | PRE: 0.212 | AUC: 0.688 | Threshold: 0.01182
Epoch 37 | Train loss: 0.00359 | Val loss: 0.00808 | Combo score: 0.418 | Smoothed: 0.413 | MCC: 0.205 | REC: 0.525 | PRE: 0.200 | AUC: 0.697 | Threshold: 0.00991
Epoch 38 | Train loss: 0.00358 | Val loss: 0.00763 | Combo score: 0.418 | Smoothed: 0.414 | MCC: 0.209 | REC: 0.537 | PRE: 0.201 | AUC: 0.689 | Threshold: 0.00936
Epoch 39 | Train loss: 0.00353 | Val loss: 0.00876 | Combo score: 0.417 | Smoothed: 0.414 | MCC: 0.216 | REC: 0.340 | PRE: 0.266 | AUC: 0.715 | Threshold: 0.01606
Epoch 40 | Train loss: 0.00350 | Val loss: 0.00759 | Combo score: 0.415 | Smoothed: 0.414 | MCC: 0.200 | REC: 0.533 | PRE: 0.195 | AUC: 0.683 | Threshold: 0.00937
Epoch 41 | Train loss: 0.00344 | Val loss: 0.00777 | Combo score: 0.417 | Smoothed: 0.414 | MCC: 0.205 | REC: 0.537 | PRE: 0.198 | AUC: 0.688 | Threshold: 0.00921
Epoch 42 | Train loss: 0.00342 | Val loss: 0.00746 | Combo score: 0.415 | Smoothed: 0.415 | MCC: 0.197 | REC: 0.556 | PRE: 0.188 | AUC: 0.692 | Threshold: 0.00864
Epoch 43 | Train loss: 0.00343 | Val loss: 0.00756 | Combo score: 0.415 | Smoothed: 0.415 | MCC: 0.198 | REC: 0.564 | PRE: 0.188 | AUC: 0.681 | Threshold: 0.00821
Epoch 44 | Train loss: 0.00331 | Val loss: 0.00809 | Combo score: 0.407 | Smoothed: 0.414 | MCC: 0.183 | REC: 0.498 | PRE: 0.189 | AUC: 0.683 | Threshold: 0.00946
Epoch 45 | Train loss: 0.00329 | Val loss: 0.00837 | Combo score: 0.414 | Smoothed: 0.414 | MCC: 0.205 | REC: 0.429 | PRE: 0.223 | AUC: 0.698 | Threshold: 0.01236
Epoch 46 | Train loss: 0.00329 | Val loss: 0.00770 | Combo score: 0.416 | Smoothed: 0.414 | MCC: 0.200 | REC: 0.529 | PRE: 0.196 | AUC: 0.695 | Threshold: 0.00867
Epoch 47 | Train loss: 0.00328 | Val loss: 0.00749 | Combo score: 0.416 | Smoothed: 0.414 | MCC: 0.205 | REC: 0.541 | PRE: 0.197 | AUC: 0.678 | Threshold: 0.00913
Epoch 48 | Train loss: 0.00322 | Val loss: 0.00793 | Combo score: 0.410 | Smoothed: 0.414 | MCC: 0.188 | REC: 0.539 | PRE: 0.185 | AUC: 0.677 | Threshold: 0.00875
Epoch 49 | Train loss: 0.00317 | Val loss: 0.00793 | Combo score: 0.414 | Smoothed: 0.414 | MCC: 0.191 | REC: 0.579 | PRE: 0.181 | AUC: 0.684 | Threshold: 0.00764
Epoch 50 | Train loss: 0.00311 | Val loss: 0.00856 | Combo score: 0.447 | Smoothed: 0.417 | MCC: 0.304 | REC: 0.255 | PRE: 0.484 | AUC: 0.692 | Threshold: 0.02457
Epoch 51 | Train loss: 0.00308 | Val loss: 0.00842 | Combo score: 0.442 | Smoothed: 0.420 | MCC: 0.292 | REC: 0.266 | PRE: 0.446 | AUC: 0.691 | Threshold: 0.02131
Epoch 52 | Train loss: 0.00307 | Val loss: 0.00836 | Combo score: 0.452 | Smoothed: 0.423 | MCC: 0.315 | REC: 0.253 | PRE: 0.513 | AUC: 0.689 | Threshold: 0.02610
Epoch 53 | Train loss: 0.00306 | Val loss: 0.00813 | Combo score: 0.416 | Smoothed: 0.422 | MCC: 0.202 | REC: 0.531 | PRE: 0.197 | AUC: 0.690 | Threshold: 0.00887
Epoch 54 | Train loss: 0.00300 | Val loss: 0.00827 | Combo score: 0.431 | Smoothed: 0.423 | MCC: 0.264 | REC: 0.220 | PRE: 0.445 | AUC: 0.687 | Threshold: 0.02223
Epoch 55 | Train loss: 0.00297 | Val loss: 0.00831 | Combo score: 0.446 | Smoothed: 0.425 | MCC: 0.301 | REC: 0.247 | PRE: 0.490 | AUC: 0.686 | Threshold: 0.02386
Epoch 56 | Train loss: 0.00296 | Val loss: 0.00830 | Combo score: 0.446 | Smoothed: 0.428 | MCC: 0.302 | REC: 0.272 | PRE: 0.458 | AUC: 0.693 | Threshold: 0.02148
Epoch 57 | Train loss: 0.00296 | Val loss: 0.00788 | Combo score: 0.407 | Smoothed: 0.425 | MCC: 0.184 | REC: 0.481 | PRE: 0.193 | AUC: 0.678 | Threshold: 0.00919
Epoch 58 | Train loss: 0.00288 | Val loss: 0.00833 | Combo score: 0.443 | Smoothed: 0.427 | MCC: 0.294 | REC: 0.253 | PRE: 0.464 | AUC: 0.690 | Threshold: 0.02357
Epoch 59 | Train loss: 0.00300 | Val loss: 0.00840 | Combo score: 0.459 | Smoothed: 0.430 | MCC: 0.332 | REC: 0.266 | PRE: 0.531 | AUC: 0.698 | Threshold: 0.02858
Epoch 60 | Train loss: 0.00284 | Val loss: 0.00839 | Combo score: 0.443 | Smoothed: 0.432 | MCC: 0.293 | REC: 0.270 | PRE: 0.442 | AUC: 0.691 | Threshold: 0.02087
Epoch 61 | Train loss: 0.00282 | Val loss: 0.00806 | Combo score: 0.445 | Smoothed: 0.433 | MCC: 0.298 | REC: 0.222 | PRE: 0.522 | AUC: 0.688 | Threshold: 0.02952
Epoch 62 | Train loss: 0.00292 | Val loss: 0.00818 | Combo score: 0.450 | Smoothed: 0.435 | MCC: 0.307 | REC: 0.245 | PRE: 0.506 | AUC: 0.700 | Threshold: 0.02644
Epoch 63 | Train loss: 0.00278 | Val loss: 0.00802 | Combo score: 0.460 | Smoothed: 0.437 | MCC: 0.330 | REC: 0.205 | PRE: 0.643 | AUC: 0.688 | Threshold: 0.04284
Epoch 64 | Train loss: 0.00287 | Val loss: 0.00728 | Combo score: 0.414 | Smoothed: 0.435 | MCC: 0.197 | REC: 0.550 | PRE: 0.190 | AUC: 0.681 | Threshold: 0.00747
Epoch 65 | Train loss: 0.00271 | Val loss: 0.00841 | Combo score: 0.450 | Smoothed: 0.436 | MCC: 0.311 | REC: 0.282 | PRE: 0.464 | AUC: 0.696 | Threshold: 0.02109
Epoch 66 | Train loss: 0.00267 | Val loss: 0.00843 | Combo score: 0.472 | Smoothed: 0.440 | MCC: 0.362 | REC: 0.282 | PRE: 0.576 | AUC: 0.700 | Threshold: 0.03771
Epoch 67 | Train loss: 0.00266 | Val loss: 0.00892 | Combo score: 0.479 | Smoothed: 0.444 | MCC: 0.380 | REC: 0.303 | PRE: 0.586 | AUC: 0.705 | Threshold: 0.04092
